sample_id,temperature_C,rpm,vibration_g,noise_dB,current_A,voltage_V,power_W,humidity_pct,failure_mode,health_status
31,45.21,1093.8,0.08,41.75,0.2568,231.22,59.37,89.84,Healthy,Healthy
32,45.2,1067.0,0.1039,41.49,0.2001,234.12,46.86,92.15,Healthy,Healthy
33,47.67,872.8,0.1012,35.0,0.1999,217.3,43.44,89.37,Healthy,Healthy
34,43.78,1105.1,0.0847,35.0,0.2474,224.16,55.46,89.01,Healthy,Healthy
35,44.07,819.5,0.1608,41.85,0.1906,227.12,43.3,92.34,Healthy,Healthy
36,37.48,672.3,0.08,41.48,0.1855,222.6,41.3,90.41,Healthy,Healthy
37,36.63,1076.0,0.1118,36.97,0.3079,222.89,68.64,88.62,Healthy,Healthy
38,45.23,884.7,0.1759,40.88,0.2252,229.37,51.66,88.6,Healthy,Healthy
39,36.68,1008.3,0.1635,36.1,0.2011,234.91,47.23,89.9,Healthy,Healthy
40,40.17,1227.8,0.1783,35.0,0.2769,216.84,60.04,85.18,Healthy,Healthy
41,49.0,770.0,0.0917,38.52,0.1962,226.15,44.36,85.02,Healthy,Healthy
42,48.0,874.2,0.1576,41.3,0.2174,229.32,49.85,93.36,Healthy,Healthy
43,42.2,1182.5,0.08,40.17,0.3033,230.9,70.03,95.07,Healthy,Healthy
44,38.43,1020.4,0.1068,41.24,0.2354,228.6,53.81,84.18,Healthy,Healthy
45,39.52,774.0,0.1113,35.0,0.1705,235.81,40.21,85.19,Healthy,Healthy
46,45.78,728.1,0.0924,47.02,0.2184,227.14,49.62,92.26,Healthy,Healthy
47,40.07,804.9,0.1027,36.66,0.1894,233.56,44.25,89.88,Healthy,Healthy
48,36.78,767.1,0.0964,37.86,0.1508,223.77,33.75,90.44,Healthy,Healthy
49,47.97,942.7,0.08,35.0,0.2608,227.29,59.29,91.3,Healthy,Healthy
50,41.45,914.1,0.161,37.46,0.1718,220.94,37.97,86.86,Healthy,Healthy
51,36.66,950.3,0.1113,41.37,0.1249,231.5,28.91,89.09,Healthy,Healthy
52,43.32,748.7,0.1296,42.61,0.196,226.4,44.37,88.78,Healthy,Healthy
53,46.43,887.2,0.1278,46.91,0.2323,228.79,53.14,84.45,Healthy,Healthy
54,33.94,530.0,0.1226,41.3,0.1351,225.43,30.46,89.03,Healthy,Healthy
55,39.03,926.1,0.1244,39.99,0.18,229.93,41.39,92.63,Healthy,Healthy
56,38.74,1111.6,0.1054,36.1,0.2577,228.99,59.02,86.5,Healthy,Healthy
57,43.15,643.5,0.1879,35.0,0.1425,222.03,31.63,88.4,Healthy,Healthy
58,44.29,987.0,0.1564,43.73,0.2154,222.32,47.89,88.61,Healthy,Healthy
59,36.82,790.0,0.1209,43.62,0.2235,226.86,50.69,86.69,Healthy,Healthy
60,33.0,1044.5,0.0986,35.0,0.2147,230.3,49.45,90.44,Healthy,Healthy
61,46.81,928.6,0.1143,42.39,0.2254,236.31,53.27,85.15,Healthy,Healthy
62,33.23,972.8,0.14,42.0,0.2601,228.51,59.43,93.0,Healthy,Healthy
63,42.01,911.7,0.1918,35.0,0.2233,232.04,51.81,90.24,Healthy,Healthy
64,39.47,1139.1,0.08,41.41,0.3002,218.94,65.72,84.15,Healthy,Healthy
65,41.33,962.5,0.1516,35.0,0.2402,237.06,56.95,94.42,Healthy,Healthy
66,50.72,773.0,0.174,35.0,0.1923,230.03,44.23,88.46,Healthy,Healthy
67,59.47,917.8,0.08,37.64,0.2243,226.75,50.86,84.98,Healthy,Healthy
68,33.0,833.6,0.1113,39.89,0.2115,226.18,47.84,92.11,Healthy,Healthy
69,46.51,929.2,0.08,37.88,0.2061,221.46,45.65,89.73,Healthy,Healthy
70,39.31,824.4,0.1406,53.94,0.1563,222.89,34.84,80.89,Healthy,Healthy
71,46.91,778.2,0.1028,40.54,0.208,236.55,49.2,85.75,Healthy,Healthy
72,46.34,935.9,0.1138,39.29,0.2506,222.05,55.64,88.89,Healthy,Healthy
73,49.2,910.0,0.1003,40.81,0.2193,221.96,48.68,79.38,Healthy,Healthy
74,42.1,1091.5,0.1545,36.12,0.2395,223.49,53.52,88.13,Healthy,Healthy
75,34.69,825.3,0.131,43.51,0.1494,221.01,33.02,88.42,Healthy,Healthy
76,46.15,543.4,0.1311,40.44,0.1292,227.08,29.33,83.18,Healthy,Healthy
77,41.04,834.5,0.1277,40.2,0.1573,232.44,36.57,88.86,Healthy,Healthy
78,38.82,607.2,0.1474,35.14,0.1004,223.95,22.49,87.83,Healthy,Healthy
79,37.29,974.8,0.1075,35.0,0.2269,220.13,49.94,83.15,Healthy,Healthy
80,46.65,598.7,0.2015,35.8,0.1185,228.46,27.08,91.39,Healthy,Healthy
81,50.42,722.1,0.08,40.02,0.1781,226.72,40.37,91.07,Healthy,Healthy
82,33.0,834.8,0.08,36.1,0.1904,232.01,44.17,86.67,Healthy,Healthy
83,44.23,1177.9,0.08,40.07,0.258,224.73,57.99,87.03,Healthy,Healthy
84,37.95,706.9,0.08,37.25,0.1177,225.7,26.57,90.63,Healthy,Healthy
85,33.0,902.2,0.1522,40.82,0.1869,226.25,42.28,87.02,Healthy,Healthy
86,41.23,1004.4,0.1464,35.0,0.2117,227.45,48.16,80.27,Healthy,Healthy
87,35.04,1167.1,0.1778,39.54,0.2384,225.04,53.64,89.7,Healthy,Healthy
88,33.0,1040.0,0.08,35.05,0.2336,224.23,52.37,84.63,Healthy,Healthy
89,35.37,1096.9,0.1557,35.0,0.2242,217.75,48.81,86.28,Healthy,Healthy
90,33.81,1055.6,0.1227,37.61,0.2418,224.17,54.2,93.49,Healthy,Healthy
91,36.22,682.4,0.128,46.77,0.1659,230.58,38.25,87.28,Healthy,Healthy
92,33.0,964.7,0.15,35.0,0.2022,231.25,46.76,87.81,Healthy,Healthy
93,37.81,1052.8,0.0838,39.14,0.2574,224.64,57.83,89.79,Healthy,Healthy
94,35.8,727.8,0.2439,42.8,0.1321,233.5,30.85,89.77,Healthy,Healthy
95,42.67,795.6,0.1838,50.89,0.1548,226.86,35.13,84.22,Healthy,Healthy
96,44.05,755.4,0.0945,35.84,0.1731,220.31,38.14,87.56,Healthy,Healthy
97,41.94,1039.1,0.08,35.1,0.2615,218.74,57.2,87.94,Healthy,Healthy
98,38.81,887.5,0.1158,35.0,0.2311,233.09,53.87,88.86,Healthy,Healthy
99,38.64,842.2,0.1287,44.64,0.2412,225.13,54.3,88.93,Healthy,Healthy
100,35.02,669.3,0.171,35.0,0.1457,220.93,32.2,97.89,Healthy,Healthy
101,35.17,887.9,0.08,36.5,0.2036,215.7,43.93,83.21,Healthy,Healthy
102,44.74,797.8,0.1337,35.0,0.1575,225.02,35.45,91.62,Healthy,Healthy
103,33.0,943.8,0.08,43.26,0.1855,229.02,42.48,92.42,Healthy,Healthy
104,39.79,694.3,0.1409,44.74,0.1683,223.51,37.62,89.72,Healthy,Healthy
105,38.26,932.0,0.1149,43.06,0.196,221.73,43.45,85.26,Healthy,Healthy
106,44.08,821.0,0.2128,35.0,0.2257,224.25,50.62,94.29,Healthy,Healthy
107,33.0,675.1,0.08,41.77,0.117,233.22,27.29,79.25,Healthy,Healthy
108,40.38,661.1,0.1856,35.0,0.1677,220.04,36.91,85.14,Healthy,Healthy
109,42.46,688.1,0.08,38.81,0.1327,223.79,29.7,92.37,Healthy,Healthy
110,33.0,862.8,0.08,39.6,0.1786,233.05,41.62,86.36,Healthy,Healthy
111,33.52,921.8,0.08,40.17,0.23,229.47,52.78,94.03,Healthy,Healthy
112,39.72,948.6,0.132,41.38,0.2026,227.9,46.17,81.9,Healthy,Healthy
113,43.54,955.4,0.08,38.46,0.2086,223.76,46.68,83.46,Healthy,Healthy
114,41.45,763.5,0.08,35.0,0.1556,227.15,35.35,85.73,Healthy,Healthy
115,43.84,1090.5,0.1297,41.38,0.3039,224.31,68.17,89.43,Healthy,Healthy
116,33.49,820.4,0.1416,39.03,0.1743,222.7,38.82,86.93,Healthy,Healthy
117,33.0,981.0,0.1219,35.0,0.2303,221.6,51.04,85.89,Healthy,Healthy
118,40.83,870.5,0.1122,35.0,0.1975,230.92,45.61,93.34,Healthy,Healthy
119,33.0,967.6,0.2076,46.79,0.2319,226.7,52.57,93.7,Healthy,Healthy
120,34.84,861.4,0.127,45.13,0.184,228.57,42.05,86.18,Healthy,Healthy
121,46.18,970.9,0.1586,42.3,0.221,227.76,50.33,81.13,Healthy,Healthy
122,41.49,898.7,0.1268,35.0,0.2206,229.2,50.56,79.39,Healthy,Healthy
123,36.71,1046.5,0.08,35.0,0.2203,225.73,49.72,88.73,Healthy,Healthy
124,35.89,752.6,0.1463,42.62,0.2058,224.59,46.22,90.36,Healthy,Healthy
125,44.22,581.4,0.0886,40.48,0.1685,222.92,37.56,88.05,Healthy,Healthy
126,41.64,724.8,0.1156,36.48,0.1859,219.93,40.89,87.52,Healthy,Healthy
127,33.0,1092.4,0.1346,44.56,0.2568,221.39,56.86,84.66,Healthy,Healthy
128,33.0,872.2,0.08,43.07,0.1207,225.17,27.17,90.35,Healthy,Healthy
129,52.18,916.6,0.08,39.45,0.2256,218.98,49.41,94.34,Healthy,Healthy
130,33.0,710.3,0.1636,38.69,0.1549,220.09,34.09,79.15,Healthy,Healthy
131,43.63,911.8,0.0882,38.77,0.2059,232.21,47.82,87.5,Healthy,Healthy
132,49.83,715.9,0.0905,42.16,0.1145,228.12,26.11,84.02,Healthy,Healthy
133,41.23,742.4,0.128,35.0,0.1869,224.74,42.0,81.99,Healthy,Healthy
134,36.51,827.6,0.1015,40.79,0.153,238.36,36.46,83.39,Healthy,Healthy
135,33.0,980.1,0.14,35.0,0.232,218.76,50.75,89.28,Healthy,Healthy
136,33.0,999.3,0.1176,45.7,0.2582,231.88,59.88,89.38,Healthy,Healthy
137,42.68,1004.2,0.1295,41.37,0.2213,226.44,50.12,93.5,Healthy,Healthy
138,49.46,614.1,0.0864,35.0,0.177,230.93,40.87,87.83,Healthy,Healthy
139,37.8,898.8,0.1293,38.93,0.189,227.54,43.01,80.94,Healthy,Healthy
140,36.79,864.6,0.1729,35.0,0.2184,217.64,47.53,86.87,Healthy,Healthy
141,44.7,624.2,0.0928,46.6,0.1095,227.48,24.91,82.39,Healthy,Healthy
142,35.97,902.9,0.1638,47.24,0.2392,228.68,54.71,83.09,Healthy,Healthy
143,42.03,854.9,0.1175,42.25,0.2238,216.04,48.34,90.06,Healthy,Healthy
144,40.56,992.1,0.1552,46.88,0.2445,236.72,57.87,88.56,Healthy,Healthy
145,37.72,914.6,0.1262,39.32,0.2025,228.56,46.29,90.09,Healthy,Healthy
146,40.2,801.1,0.1184,42.61,0.1481,230.36,34.11,86.41,Healthy,Healthy
147,51.43,1066.6,0.1367,45.1,0.2381,221.17,52.65,90.88,Healthy,Healthy
148,44.12,500.2,0.1781,38.47,0.1475,230.45,33.99,86.19,Healthy,Healthy
149,47.19,888.4,0.1313,38.88,0.2109,232.45,49.02,92.16,Healthy,Healthy
150,33.0,620.5,0.1234,40.04,0.1391,232.3,32.32,90.87,Electrical_Overheat,Warning
151,41.36,697.5,0.114,38.37,0.201,227.36,45.7,86.4,Electrical_Overheat,Warning
152,38.63,1125.6,0.1161,39.73,0.3028,219.34,66.43,86.93,Electrical_Overheat,Warning
153,33.0,987.8,0.0991,35.65,0.2459,226.96,55.82,88.79,Electrical_Overheat,Warning
154,37.23,677.9,0.1402,40.18,0.2186,223.91,48.94,88.85,Electrical_Overheat,Warning
155,33.2,582.2,0.1299,37.18,0.1224,231.59,28.35,85.02,Electrical_Overheat,Warning
156,33.0,787.5,0.1294,37.64,0.2013,226.87,45.67,90.24,Electrical_Overheat,Warning
157,33.0,566.8,0.0971,39.32,0.1381,220.61,30.46,78.75,Electrical_Overheat,Warning
158,39.82,871.9,0.1114,39.01,0.251,219.5,55.1,86.04,Electrical_Overheat,Warning
159,33.0,1341.3,0.1152,38.64,0.3612,226.9,81.97,88.4,Electrical_Overheat,Warning
160,34.85,612.5,0.0923,36.3,0.1614,214.9,34.68,86.45,Electrical_Overheat,Warning
161,33.0,866.5,0.1328,38.66,0.1814,224.41,40.71,80.68,Electrical_Overheat,Warning
162,38.87,1136.1,0.1409,40.05,0.3288,228.16,75.02,90.76,Electrical_Overheat,Warning
163,33.47,1034.8,0.1496,37.64,0.2716,221.71,60.23,82.93,Electrical_Overheat,Warning
164,34.45,873.2,0.105,40.62,0.2375,231.97,55.1,87.54,Electrical_Overheat,Warning
165,34.61,873.7,0.1217,37.09,0.2137,232.96,49.78,88.4,Electrical_Overheat,Warning
166,36.57,691.9,0.139,38.51,0.1606,221.92,35.63,87.88,Electrical_Overheat,Warning
167,35.16,851.8,0.1164,40.98,0.2701,225.51,60.91,92.36,Electrical_Overheat,Warning
168,34.89,943.8,0.1119,37.4,0.2041,231.97,47.35,87.59,Electrical_Overheat,Warning
169,33.0,1098.9,0.0932,40.2,0.2657,226.99,60.31,89.47,Electrical_Overheat,Warning
170,33.0,788.4,0.1363,41.69,0.2526,220.03,55.57,87.58,Electrical_Overheat,Warning
171,33.0,865.8,0.1197,38.78,0.2501,226.28,56.59,90.19,Electrical_Overheat,Warning
172,38.59,729.1,0.1095,37.65,0.1866,222.74,41.57,93.23,Electrical_Overheat,Warning
173,33.61,940.6,0.1241,37.25,0.2869,232.54,66.72,88.34,Electrical_Overheat,Warning
174,33.0,1041.1,0.1222,40.61,0.2917,230.03,67.11,90.85,Electrical_Overheat,Warning
175,33.0,1013.3,0.1224,40.56,0.2784,225.43,62.75,93.48,Electrical_Overheat,Warning
176,33.0,689.4,0.1169,40.84,0.1912,227.71,43.54,93.09,Electrical_Overheat,Warning
177,33.0,926.4,0.1433,38.45,0.2615,220.46,57.65,86.3,Electrical_Overheat,Warning
178,39.42,778.1,0.1181,40.18,0.2228,223.23,49.74,91.84,Electrical_Overheat,Warning
179,33.0,1082.0,0.1433,38.42,0.3512,234.77,82.44,88.77,Electrical_Overheat,Warning
180,37.05,871.0,0.1281,37.07,0.2283,227.27,51.89,92.16,Electrical_Overheat,Warning
181,33.0,626.5,0.125,40.32,0.1636,231.65,37.89,90.02,Electrical_Overheat,Warning
182,38.2,860.4,0.1184,41.14,0.1966,228.16,44.86,88.88,Electrical_Overheat,Warning
183,33.39,982.5,0.134,36.85,0.2622,233.57,61.24,89.49,Electrical_Overheat,Warning
184,33.0,943.9,0.1216,36.82,0.3049,217.01,66.16,88.8,Electrical_Overheat,Warning
185,33.79,807.9,0.1066,38.56,0.2441,226.06,55.17,88.95,Electrical_Overheat,Warning
186,44.01,794.7,0.1061,40.04,0.1982,235.22,46.61,87.18,Electrical_Overheat,Warning
187,43.8,722.2,0.1261,36.67,0.1946,231.78,45.11,86.82,Electrical_Overheat,Warning
188,37.46,828.9,0.107,38.87,0.1865,233.63,43.57,94.68,Electrical_Overheat,Warning
189,34.43,746.0,0.1191,37.55,0.1733,226.97,39.34,89.66,Electrical_Overheat,Warning
190,36.58,1074.6,0.1352,39.63,0.2925,224.31,65.61,85.56,Electrical_Overheat,Warning
191,36.64,737.8,0.1244,37.21,0.1843,221.86,40.88,86.72,Electrical_Overheat,Warning
192,34.91,922.0,0.1096,39.75,0.2185,221.52,48.39,91.92,Electrical_Overheat,Warning
193,37.24,909.8,0.1403,38.24,0.2577,231.04,59.54,84.93,Electrical_Overheat,Warning
194,36.11,1070.2,0.1279,36.99,0.2849,229.57,65.4,82.02,Electrical_Overheat,Warning
195,33.56,1096.1,0.1346,38.6,0.2507,226.67,56.82,82.31,Electrical_Overheat,Warning
196,33.0,1025.3,0.0874,35.37,0.2176,229.54,49.95,81.06,Electrical_Overheat,Warning
197,33.0,963.5,0.1248,37.6,0.2428,227.71,55.28,82.73,Electrical_Overheat,Warning
198,38.99,711.2,0.1321,39.05,0.1468,231.81,34.04,83.19,Electrical_Overheat,Warning
199,34.95,707.6,0.1444,35.64,0.1381,231.76,32.01,93.2,Electrical_Overheat,Warning
200,36.56,747.8,0.099,35.0,0.2319,221.67,51.41,87.62,Electrical_Overheat,Warning
201,33.72,1035.3,0.1373,35.0,0.2751,228.37,62.83,86.38,Electrical_Overheat,Warning
202,33.0,913.2,0.1436,40.64,0.2377,218.66,51.97,82.17,Electrical_Overheat,Warning
203,33.94,1056.4,0.091,38.38,0.2782,227.67,63.34,87.24,Electrical_Overheat,Warning
204,33.0,1080.5,0.1269,37.64,0.2584,230.02,59.44,81.02,Electrical_Overheat,Warning
205,33.0,769.3,0.1289,40.03,0.2178,220.43,48.02,86.36,Electrical_Overheat,Warning
206,40.96,905.8,0.1153,37.85,0.2394,224.92,53.85,95.85,Electrical_Overheat,Warning
207,33.06,897.7,0.113,38.93,0.2199,227.05,49.92,90.39,Electrical_Overheat,Warning
208,33.0,841.0,0.1296,38.54,0.2088,228.17,47.65,86.98,Electrical_Overheat,Warning
209,42.96,803.7,0.1112,37.74,0.1817,225.61,40.98,90.52,Electrical_Overheat,Warning
210,39.06,1113.3,0.1169,38.98,0.2875,221.14,63.57,85.77,Electrical_Overheat,Warning
211,33.29,909.4,0.1317,39.75,0.2374,226.73,53.82,84.68,Electrical_Overheat,Warning
212,37.18,902.4,0.1452,38.2,0.2302,218.74,50.34,94.45,Electrical_Overheat,Warning
213,33.95,755.5,0.1277,37.76,0.2043,225.84,46.13,83.35,Electrical_Overheat,Warning
214,33.0,1021.5,0.1219,37.95,0.2719,224.79,61.13,86.42,Electrical_Overheat,Warning
215,37.41,719.1,0.1126,35.0,0.1993,226.33,45.12,88.99,Electrical_Overheat,Warning
216,33.52,981.9,0.1055,38.96,0.2896,224.2,64.93,84.15,Electrical_Overheat,Warning
217,35.47,986.8,0.1359,36.55,0.2812,219.46,61.72,90.34,Electrical_Overheat,Warning
218,40.06,825.7,0.1178,39.52,0.248,225.17,55.85,86.6,Electrical_Overheat,Warning
219,39.53,957.2,0.1365,38.35,0.2334,231.65,54.06,90.39,Electrical_Overheat,Warning
220,33.0,933.4,0.1153,38.67,0.2364,233.31,55.15,90.09,Electrical_Overheat,Warning
221,37.46,892.9,0.1107,39.63,0.2577,239.2,61.64,86.85,Electrical_Overheat,Warning
222,33.0,902.3,0.126,37.0,0.2607,235.46,61.39,94.47,Electrical_Overheat,Warning
223,37.29,911.1,0.1189,39.1,0.2257,221.02,49.88,85.21,Electrical_Overheat,Warning
224,35.82,923.4,0.1027,38.93,0.2647,224.96,59.55,93.06,Electrical_Overheat,Warning
225,36.94,910.8,0.1461,38.2,0.2183,226.89,49.52,92.38,Electrical_Overheat,Warning
226,33.65,701.3,0.111,37.0,0.2015,226.57,45.66,94.71,Electrical_Overheat,Warning
227,45.23,872.6,0.1333,39.46,0.2334,227.35,53.07,88.48,Electrical_Overheat,Warning
228,33.0,947.7,0.1321,39.64,0.2159,239.04,51.62,84.72,Electrical_Overheat,Warning
229,39.82,917.5,0.1019,38.68,0.2342,221.59,51.89,95.9,Electrical_Overheat,Warning
230,33.0,1071.7,0.1056,36.77,0.348,223.43,77.76,86.49,Electrical_Overheat,Warning
231,37.55,1011.6,0.1157,37.65,0.2771,235.22,65.17,84.63,Electrical_Overheat,Warning
232,37.9,743.3,0.1076,38.4,0.2632,223.92,58.93,87.06,Electrical_Overheat,Warning
233,35.37,870.0,0.1448,39.61,0.1934,228.97,44.29,83.97,Electrical_Overheat,Warning
234,33.0,844.0,0.1171,35.94,0.2473,232.17,57.41,89.85,Electrical_Overheat,Warning
235,35.79,899.2,0.1328,37.59,0.1711,229.43,39.25,85.44,Electrical_Overheat,Warning
236,36.4,899.5,0.1274,37.85,0.2413,227.96,55.02,86.68,Electrical_Overheat,Warning
237,43.8,1010.1,0.1238,38.37,0.2885,231.69,66.85,91.57,Electrical_Overheat,Warning
238,33.0,931.9,0.1206,36.4,0.2733,222.53,60.81,90.23,Electrical_Overheat,Warning
239,33.0,1121.5,0.1378,38.15,0.2788,224.52,62.59,87.86,Electrical_Overheat,Warning
240,36.48,943.4,0.1081,38.0,0.2819,229.68,64.75,88.47,Electrical_Overheat,Warning
241,33.85,750.5,0.1448,36.82,0.1866,216.65,40.43,87.85,Electrical_Overheat,Warning
242,34.61,815.9,0.1015,38.31,0.2144,234.08,50.18,86.12,Electrical_Overheat,Warning
243,40.3,1008.7,0.1312,37.63,0.2587,228.52,59.11,87.79,Electrical_Overheat,Warning
244,33.0,609.4,0.0998,39.3,0.1321,227.77,30.08,89.71,Electrical_Overheat,Warning
245,33.0,657.7,0.1155,37.07,0.22,218.85,48.14,87.31,Electrical_Overheat,Warning
246,33.0,901.9,0.1213,38.65,0.2433,220.57,53.67,89.44,Electrical_Overheat,Warning
247,33.0,1071.2,0.113,37.19,0.3176,225.01,71.45,84.54,Electrical_Overheat,Warning
248,46.79,1135.3,0.1174,37.53,0.3336,231.04,77.07,85.44,Electrical_Overheat,Warning
249,38.01,860.9,0.1001,38.98,0.2042,216.62,44.23,84.94,Electrical_Overheat,Warning
250,37.63,1118.9,0.1214,40.39,0.3281,228.23,74.88,84.05,Electrical_Overheat,Warning
251,38.25,990.6,0.1097,37.92,0.2726,229.75,62.63,83.88,Electrical_Overheat,Warning
252,39.73,712.6,0.1343,39.71,0.2269,230.38,52.27,89.2,Electrical_Overheat,Warning
253,51.31,980.8,0.1243,38.28,0.2648,235.87,62.45,88.1,Electrical_Overheat,Warning
254,43.22,715.9,0.1118,36.81,0.1921,234.5,45.06,92.27,Electrical_Overheat,Warning
255,34.7,1189.2,0.1322,41.11,0.3367,222.95,75.06,86.45,Electrical_Overheat,Warning
256,57.28,1046.5,0.1201,38.69,0.3245,231.84,75.23,87.28,Electrical_Overheat,Warning
257,36.54,887.2,0.1203,37.35,0.28,225.08,63.01,88.62,Electrical_Overheat,Warning
258,39.84,1127.7,0.099,36.25,0.319,226.31,72.2,84.44,Electrical_Overheat,Warning
259,51.27,615.2,0.119,36.42,0.1794,221.53,39.74,84.98,Electrical_Overheat,Warning
260,45.89,765.1,0.1246,37.9,0.2246,218.53,49.08,92.15,Electrical_Overheat,Warning
261,40.57,854.6,0.1392,41.61,0.2566,226.84,58.21,85.66,Electrical_Overheat,Warning
262,35.99,1302.4,0.1092,37.56,0.3855,222.22,85.66,92.41,Electrical_Overheat,Warning
263,37.59,707.3,0.1527,40.84,0.1832,231.64,42.45,90.17,Electrical_Overheat,Warning
264,37.95,592.7,0.128,38.29,0.1956,225.59,44.12,81.76,Electrical_Overheat,Warning
265,43.44,640.0,0.0982,36.59,0.1812,228.54,41.42,89.87,Electrical_Overheat,Warning
266,44.54,1063.1,0.1079,37.74,0.3033,233.84,70.92,89.84,Electrical_Overheat,Warning
267,42.5,793.0,0.1404,36.43,0.2511,219.57,55.13,89.45,Electrical_Overheat,Warning
268,43.16,871.4,0.1379,37.12,0.2545,223.38,56.85,87.25,Electrical_Overheat,Warning
269,37.08,1037.3,0.1203,37.07,0.3037,227.9,69.22,84.13,Electrical_Overheat,Warning
270,45.16,871.5,0.1222,35.42,0.2231,228.56,50.99,93.05,Electrical_Overheat,Warning
271,51.09,936.7,0.1033,40.94,0.2929,232.52,68.1,87.4,Electrical_Overheat,Warning
272,42.42,996.3,0.139,38.84,0.2866,231.34,66.31,84.35,Electrical_Overheat,Warning
273,42.3,822.5,0.1058,37.39,0.2242,227.48,51.0,89.58,Electrical_Overheat,Warning
274,43.89,870.1,0.1321,38.86,0.264,228.52,60.32,84.9,Electrical_Overheat,Warning
275,50.12,943.6,0.1394,37.15,0.3249,228.66,74.29,84.1,Electrical_Overheat,Warning
276,38.02,1056.3,0.1207,35.0,0.251,219.65,55.14,86.34,Electrical_Overheat,Warning
277,52.12,757.4,0.1339,43.28,0.181,226.22,40.94,85.2,Electrical_Overheat,Warning
278,45.93,356.3,0.1465,38.81,0.17,228.24,38.8,84.24,Electrical_Overheat,Warning
279,43.57,1022.3,0.1239,37.55,0.2861,229.29,65.61,90.95,Electrical_Overheat,Warning
280,50.69,1067.0,0.1175,35.38,0.2916,222.38,64.84,87.36,Electrical_Overheat,Warning
281,36.29,936.0,0.119,36.09,0.248,220.66,54.71,92.68,Electrical_Overheat,Warning
282,46.53,948.3,0.1093,41.17,0.2879,225.83,65.02,84.47,Electrical_Overheat,Warning
283,45.98,798.4,0.109,40.93,0.2866,236.84,67.88,81.06,Electrical_Overheat,Warning
284,37.77,990.0,0.1264,39.72,0.2472,222.9,55.11,88.38,Electrical_Overheat,Warning
285,46.16,1053.6,0.1176,36.7,0.28,232.87,65.21,95.04,Electrical_Overheat,Warning
286,45.1,910.2,0.1247,40.94,0.2345,234.92,55.09,89.87,Electrical_Overheat,Warning
287,42.32,1348.4,0.0986,39.23,0.3821,227.23,86.83,99.0,Electrical_Overheat,Warning
288,48.58,618.5,0.1187,39.56,0.1998,223.6,44.68,89.1,Electrical_Overheat,Warning
289,39.96,929.3,0.1348,39.22,0.2943,229.56,67.56,88.72,Electrical_Overheat,Warning
